"Parcelle";"Traitement";"ID_Zone";"Individu";"Total_poids_graines_avnettoyage";"P.graines";"Poids_graine_1";"Poids_graine_2";"Poids_graines_3";"T.graines";"PMG";"Hauteur";"Diametre"
13138;"PM + Abeille";"CAGE";3;16,6;13,9;47,8;37,9;53,6;303;46,4333333333333;100;86
13138;"PM + Pollen";"SACHET";3;31,5;27,3;46,7;51,3;50,8;574;49,6;103;103
13138;"PM + Pollen";"SACHET";6;5,1;4,2;27,2;28,8;24,6;149;26,8666666666667;76;50
13138;"NF";"CAGE";1;30,1;26,2;37,5;41,2;45,7;615;41,4666666666667;96;88
13138;"NF";"CAGE";1;16,8;13;38,2;35,6;30,6;377;34,8;96;88
13138;"NF";"CAGE";2;18,8;16,2;43,2;43;37,6;394;41,2666666666667;89;84
13138;"NF1";"SACHET";1;17,7;13,8;34,6;30,4;29,7;413;31,5666666666667;110;96
13138;"NF1";"SACHET";2;33,1;29,1;39,6;48,8;40,7;656;43,0333333333333;101;105
13138;"NF1";"SACHET";3;17,1;13,9;40,4;35,5;45,8;362;40,5666666666667;91;75
13138;"NF1";"SACHET";4;59,9;55,2;63,3;67,9;50;922;60,4;98;152
13138;"NF1";"SACHET";5;18,1;15,3;41,2;45,3;34,4;390;40,3;89;86
13138;"NF1";"SACHET";6;7,1;5,4;22,2;39,6;31,8;176;31,2;68;53
13138;"NF1";"SACHET";6;15,8;13,7;39,4;32,6;41,5;360;37,8333333333333;68;53
13138;"NF2";"SACHET";1;17,2;12,1;30,1;35;29,3;429;31,4666666666667;115;84
13138;"NF2";"SACHET";3;38,4;35,5;53,8;56,1;692,7;701;267,533333333333;105;115
13253;"GM";"CAGE";1;34,6;28;61,8;39,9;50,1;658;50,6;102;120
13253;"GM";"CAGE";2;20;15,4;34,7;58,3;24,6;481;39,2;101;100
13253;"GM";"CAGE";3;18,2;14,1;39,2;42,6;41,6;401;41,1333333333333;99;96
13253;"GM";"SACHET";1;24,8;21;51,6;47,7;43,4;551;47,5666666666667;93;104
13253;"GM";"SACHET";2;25,9;20,8;32,7;35,9;48,3;568;38,9666666666667;102;114
13253;"GM";"SACHET";3;46,8;41,5;44,7;42,9;47,9;1014;45,1666666666667;105;149
13253;"GM";"SACHET";4;19;14,9;47,2;46,8;38,9;440;44,3;87;82
13253;"GM";"SACHET";5;25,3;19,6;37,6;61,9;18;501;39,1666666666667;96;109
13253;"GM";"SACHET";6;20,3;15,2;25,2;50,9;54,3;519;43,4666666666667;103;102
13253;"PM";"CAGE";1;14,8;10,2;30,8;46,2;31,4;442;36,1333333333333;83;90
13253;"PM";"CAGE";2;15,4;11,2;43,7;40,4;15,2;446;33,1;87;105
13253;"PM";"CAGE";3;14,3;11,4;44;38,6;30,5;405;37,7;86;101
13253;"PM";"SACHET";1;24;19,4;57;72,5;63;422;64,1666666666667;101;102
13253;"PM";"SACHET";2;44,7;38,5;69,5;35,6;50,1;863;51,7333333333333;94;130
13253;"PM";"SACHET";3;21,9;17,4;35,2;36,8;16,9;556;29,6333333333333;101;115
13253;"PM";"SACHET";4;27,6;22,4;46,2;32,6;22,2;590;33,6666666666667;82;98
13253;"PM";"SACHET";5;21,8;16,6;46,9;46,5;43,3;464;45,5666666666667;92;105
13253;"PM";"SACHET";6;25,3;20,6;32,8;21,1;24,3;633;26,0666666666667;101;112
13253;"PM + Abeille";"CAGE";1;14,7;10,3;26,9;39,2;41,5;407;35,8666666666667;98;101
13253;"PM + Abeille";"CAGE";2;4,7;3,7;32,7;39,4;27,9;134;33,3333333333333;82;51
13253;"PM + Abeille";"CAGE";3;15,9;12,3;37,9;31,8;42,8;439;37,5;90;80
13253;"PM + Pollen";"SACHET";3;16,3;11,4;41,5;21;14,9;538;25,8;96;90
13253;"PM + Pollen";"SACHET";6;22,7;18,7;37,2;40,5;36,6;585;38,1;96;109
13253;"NF";"CAGE";1;41,2;34,2;49,4;40,6;32,2;1003;40,7333333333333;104;131
13253;"NF";"CAGE";2;21,5;17,4;39,4;34,1;23,2;514;32,2333333333333;96;98
13253;"NF";"CAGE";3;56,7;49,2;68,3;59,6;56,6;985;61,5;105;169
13253;"NF1";"SACHET";1;29,7;26;42,3;57,7;43,9;684;47,9666666666667;88;102
13253;"NF1";"SACHET";2;41,2;36;48,2;59,9;62,7;815;56,9333333333333;102;129
13253;"NF1";"SACHET";3;36,5;31,9;39,2;45,5;25;931;36,5666666666667;93;136
13253;"NF1";"SACHET";4;11,1;7,1;28,2;27,7;16;350;23,9666666666667;71;87
13253;"NF1";"SACHET";5;39,8;34,4;42,2;50,7;51,7;812;48,2;95;127
13253;"NF1";"SACHET";6;42,8;36,4;34,2;46,7;46,3;1011;42,4;102;137
13253;"NF2";"SACHET";1;38,8;33,7;59;29,3;45,5;764;44,6;90;121
13253;"NF2";"SACHET";3;30,6;26,5;35,1;51,7;35,2;753;40,6666666666667;98;110
13253;"NF2";"SACHET";6;22;15,3;42;32,5;37,4;559;37,3;93;126
14499;"GM";"CAGE";1;45;33,6;82,3;83,51;81,22;397;82,3433333333333;124;204
14499;"GM";"CAGE";2;61,7;48,1;82,78;84,18;93,3;582;86,7533333333333;129;230
14499;"GM";"CAGE";3;55,2;38,7;93,33;93,8;92,62;438;93,25;120;235
14499;"GM";"SACHET";1;24,4;17;42,16;40,66;46,42;319;43,08;132;123
14499;"GM";"SACHET";2;81;71,3;96,91;95,87;88,52;813;93,7666666666667;112;202
14499;"GM";"SACHET";3;80,9;62,6;99,53;91,97;89,76;704;93,7533333333333;126;250
14499;"GM";"SACHET";4;68,9;59,5;87,61;73,7;84,88;825;82,0633333333333;137;194
14499;"GM";"SACHET";5;64;56,4;69,21;69,56;60,85;962;66,54;136;162
14499;"GM";"SACHET";6;57,2;48,4;37,17;59,3;52,08;919;49,5166666666667;145;176
14499;"PM";"CAGE";1;45,2;36;77,74;72,58;79,44;437;76,5866666666667;123;194
14499;"PM";"CAGE";2;59,8;49,3;81,58;82,09;76,3;634;79,99;128;195
14499;"PM";"CAGE";3;49,6;41,5;65,61;58,55;59,62;715;61,26;135;197
14499;"PM";"SACHET";1;24,2;15;33,22;34,07;38,77;313;35,3533333333333;134;113
14499;"PM";"SACHET";2;105,6;94,5;75,58;98,23;98,63;1159;90,8133333333333;128;221
14499;"PM";"SACHET";3;69,2;567;93,25;90,59;76,45;655;86,7633333333333;156;202
14499;"PM";"SACHET";4;46;28,7;73,58;96,75;111,51;329;93,9466666666667;125;190
14499;"PM";"SACHET";5;54,8;44,7;67,32;61,05;66,92;705;65,0966666666667;129;168
