id,day,hour,temperature,precipitation,wind_speed,cloudcover
9523,183,18,24.6299994494766,2.60000003874302,0.509903171989282,33
9523,183,12,24.6299994494766,2.60000003874302,4.92544579200753,27
9523,183,06,24.6299994494766,2.60000003874302,3.76430847567136,35
3107,183,18,24.6399994492531,1.90000002831221,1.83575810498138,33
3107,183,12,24.6399994492531,1.90000002831221,3.73363277519418,27
3107,183,06,24.6399994492531,1.90000002831221,2.68700682917111,35
7413,183,18,24.7899994459003,2.00000002980232,0.509903171989282,33
7413,183,12,24.7899994459003,2.00000002980232,4.92544579200753,27
7413,183,06,24.7899994459003,2.00000002980232,3.76430847567136,35
5595,183,18,24.6399994492531,1.90000002831221,0.509903171989282,33
5595,183,12,24.6399994492531,1.90000002831221,4.92544579200753,27
5595,183,06,24.6399994492531,1.90000002831221,3.76430847567136,35
116,183,18,24.699999447912,1.10000001639128,1.83575810498138,33
116,183,12,24.699999447912,1.10000001639128,3.73363277519418,27
116,183,06,24.699999447912,1.10000001639128,2.68700682917111,35
3271,183,18,24.8899994436652,2.40000003576279,1.83575810498138,33
3271,183,12,24.8899994436652,2.40000003576279,3.73363277519418,27
3271,183,06,24.8899994436652,2.40000003576279,2.68700682917111,35
1823,183,18,24.7899994459003,2.00000002980232,1.83575810498138,33
1823,183,12,24.7899994459003,2.00000002980232,3.73363277519418,27
1823,183,06,24.7899994459003,2.00000002980232,2.68700682917111,35
2187,183,18,24.7899994459003,2.00000002980232,1.83575810498138,33
2187,183,12,24.7899994459003,2.00000002980232,3.73363277519418,27
2187,183,06,24.7899994459003,2.00000002980232,2.68700682917111,35
10106,183,18,24.0399994626641,2.30000003427267,0.509903171989282,33
10106,183,12,24.0399994626641,2.30000003427267,4.92544579200753,27
10106,183,06,24.0399994626641,2.30000003427267,3.76430847567136,35
10486,183,18,24.0399994626641,2.30000003427267,0.509903171989282,33
10486,183,12,24.0399994626641,2.30000003427267,4.92544579200753,27
10486,183,06,24.0399994626641,2.30000003427267,3.76430847567136,35
10626,183,18,24.0399994626641,2.30000003427267,0.509903171989282,33
10626,183,12,24.0399994626641,2.30000003427267,4.92544579200753,27
10626,183,06,24.0399994626641,2.30000003427267,3.76430847567136,35
14497,183,18,24.6299994494766,2.60000003874302,0.509903171989282,33
14497,183,12,24.6299994494766,2.60000003874302,4.92544579200753,27
14497,183,06,24.6299994494766,2.60000003874302,3.76430847567136,35
12,183,18,24.699999447912,1.10000001639128,1.83575810498138,33
12,183,12,24.699999447912,1.10000001639128,3.73363277519418,27
12,183,06,24.699999447912,1.10000001639128,2.68700682917111,35
12473,183,18,24.3099994566292,2.20000003278255,0.509903171989282,33
12473,183,12,24.3099994566292,2.20000003278255,4.92544579200753,27
12473,183,06,24.3099994566292,2.20000003278255,3.76430847567136,35
12446,183,18,24.3099994566292,2.20000003278255,0.509903171989282,33
12446,183,12,24.3099994566292,2.20000003278255,4.92544579200753,27
12446,183,06,24.3099994566292,2.20000003278255,3.76430847567136,35
13253,183,18,24.2299994584173,1.70000002533197,0.509903171989282,33
13253,183,12,24.2299994584173,1.70000002533197,4.92544579200753,27
13253,183,06,24.2299994584173,1.70000002533197,3.76430847567136,35
7507,183,18,24.6399994492531,1.90000002831221,0.509903171989282,33
7507,183,12,24.6399994492531,1.90000002831221,4.92544579200753,27
7507,183,06,24.6399994492531,1.90000002831221,3.76430847567136,35
5867,183,18,24.2299994584173,1.70000002533197,0.509903171989282,33
5867,183,12,24.2299994584173,1.70000002533197,4.92544579200753,27
5867,183,06,24.2299994584173,1.70000002533197,3.76430847567136,35
7029,183,18,24.6399994492531,1.90000002831221,0.509903171989282,33
7029,183,12,24.6399994492531,1.90000002831221,4.92544579200753,27
7029,183,06,24.6399994492531,1.90000002831221,3.76430847567136,35
3253,183,18,24.6399994492531,1.90000002831221,1.83575810498138,33
3253,183,12,24.6399994492531,1.90000002831221,3.73363277519418,27
3253,183,06,24.6399994492531,1.90000002831221,2.68700682917111,35
2939,183,18,24.6399994492531,1.90000002831221,1.83575810498138,33
2939,183,12,24.6399994492531,1.90000002831221,3.73363277519418,27
2939,183,06,24.6399994492531,1.90000002831221,2.68700682917111,35
376,183,18,24.6499994490296,1.10000001639128,1.83575810498138,33
376,183,12,24.6499994490296,1.10000001639128,3.73363277519418,27
376,183,06,24.6499994490296,1.10000001639128,2.68700682917111,35
2230,183,18,24.7899994459003,2.00000002980232,1.83575810498138,33
2230,183,12,24.7899994459003,2.00000002980232,3.73363277519418,27
2230,183,06,24.7899994459003,2.00000002980232,2.68700682917111,35
5572,183,18,24.2299994584173,1.70000002533197,0.509903171989282,33
5572,183,12,24.2299994584173,1.70000002533197,4.92544579200753,27
5572,183,06,24.2299994584173,1.70000002533197,3.76430847567136,35
8690,183,18,24.3099994566292,2.20000003278255,0.509903171989282,33
8690,183,12,24.3099994566292,2.20000003278255,4.92544579200753,27
8690,183,06,24.3099994566292,2.20000003278255,3.76430847567136,35
4566,183,18,24.2299994584173,1.70000002533197,0.509903171989282,33
4566,183,12,24.2299994584173,1.70000002533197,4.92544579200753,27
4566,183,06,24.2299994584173,1.70000002533197,3.76430847567136,35
6223,183,18,24.2299994584173,1.70000002533197,0.509903171989282,33
6223,183,12,24.2299994584173,1.70000002533197,4.92544579200753,27
6223,183,06,24.2299994584173,1.70000002533197,3.76430847567136,35
13138,183,18,24.2299994584173,1.70000002533197,0.509903171989282,33
13138,183,12,24.2299994584173,1.70000002533197,4.92544579200753,27
13138,183,06,24.2299994584173,1.70000002533197,3.76430847567136,35
